Destination Airport,Lat,Long,name
BNW,42.05,-93.85,Boone Municipal Airport
BOI,43.56,-116.22,Boise Air Terminal/Gowen Field
BOS,42.36,-71.01,General Edward Lawrence Logan International Airport
BOW,27.94,-81.78,Bartow Executive Airport
HCA,32.21,-101.52,Big Spring Mc Mahon-Wrinkle Airport
BPI,42.59,-110.11,Miley Memorial Field
WMH,36.37,-92.47,Ozark Regional Airport
BPT,29.95,-94.02,Southeast Texas Regional Airport
BQK,31.26,-81.47,Brunswick Golden Isles Airport
BRD,46.40,-94.14,Brainerd Lakes Regional Airport
BRL,40.78,-91.13,Southeast Iowa Regional Airport
BRO,25.91,-97.43,Brownsville South Padre Island International Airport
BRY,37.81,-85.50,Samuels Field
BTF,40.87,-111.93,Skypark Airport
BTL,42.31,-85.25,W K Kellogg Airport
BTM,45.95,-112.50,Bert Mooney Airport
TTO,45.82,-97.74,Britton Municipal Airport
BTP,40.78,-79.95,Pittsburgh/Butler Regional Airport
BTR,30.53,-91.15,Baton Rouge Metropolitan Airport
BTV,44.47,-73.15,Burlington International Airport
BTY,36.86,-116.79,Beatty Airport
BUB,41.78,-99.15,Cram Field
BUF,42.94,-78.73,Buffalo Niagara International Airport
BUM,38.29,-94.34,Butler Memorial Airport
BUR,34.20,-118.36,Bob Hope Airport
BFP,40.77,-80.39,Beaver County Airport
BVO,36.76,-96.01,Bartlesville Municipal Airport
MVW,48.47,-122.42,Skagit Regional Airport
BVX,35.73,-91.65,Batesville Regional Airport
BVY,42.58,-70.92,Beverly Municipal Airport
BWC,32.99,-115.52,Brawley Municipal Airport
BWD,31.79,-98.96,Brownwood Regional Airport
BWG,36.96,-86.42,Bowling Green Warren County Regional Airport
BWI,39.18,-76.67,Baltimore/Washington International Thurgood Marshall Airport
WAH,46.24,-96.61,Harry Stern Airport
BWM,46.17,-103.30,Bowman Regional Airport
BXA,30.81,-89.86,George R Carr Memorial Air Field
BXK,33.42,-112.69,Buckeye Municipal Airport
BYG,44.38,-106.72,Johnson County Airport
BYH,35.96,-89.94,Arkansas International Airport
BYI,42.54,-113.77,Burley Municipal Airport
BYS,35.28,-116.63,Bicycle Lake Army Air Field
BBC,28.97,-95.86,Bay City Municipal Airport
BZN,45.78,-111.15,Gallatin Field
XES,42.61,-88.39,Grand Geneva Resort Airport
PLY,41.37,-86.30,Plymouth Municipal Airport
CLG,36.16,-120.29,New Coalinga Municipal Airport
CAD,44.28,-85.42,Wexford County Airport
CAE,33.94,-81.12,Columbia Metropolitan Airport
CIG,40.50,-107.52,Craig Moffat Airport
CAK,40.92,-81.44,Akron Canton Regional Airport
CAO,36.45,-103.17,Clayton Municipal Airpark
CAR,46.87,-68.02,Caribou Municipal Airport
CBE,39.62,-78.76,Greater Cumberland Regional Airport
CBF,41.26,-95.76,Council Bluffs Municipal Airport
CBK,39.43,-101.05,Shalz Field
CBM,33.64,-88.44,Columbus Air Force Base
KCC,56.00,-132.84,Coffman Cove Seaplane Base
CCB,34.11,-117.69,Cable Airport
CCR,37.99,-122.06,Buchanan Field
CCY,43.07,-92.61,Northeast Iowa Regional Airport
LLX,44.57,-72.02,Caledonia County Airport
CDC,37.70,-113.10,Cedar City Regional Airport
CDH,33.62,-92.76,Harrell Field
CDN,34.28,-80.56,Woodward Field
CDR,42.84,-103.10,Chadron Municipal Airport
CDS,34.43,-100.29,Childress Municipal Airport
CDW,40.88,-74.28,Essex County Airport
CEA,37.65,-97.25,Cessna Aircraft Field
CEC,41.78,-124.24,Jack Mc Namara Field Airport
CEF,42.19,-72.53,Westover ARB/Metropolitan Airport
CEU,34.67,-82.89,Oconee County Regional Airport
CEV,39.70,-85.13,Mettel Field
CEW,30.78,-86.52,Bob Sikes Airport
CEY,36.66,-88.37,Kyle Oakley Field
CEZ,37.30,-108.63,Cortez Municipal Airport
CFD,30.72,-96.33,Coulter Field
TZC,43.46,-83.45,Tuscola Area Airport
CFT,32.96,-109.21,Greenlee County Airport
CFV,37.09,-95.57,Coffeyville Municipal Airport
KCG,56.32,-158.59,Chignik Fisheries Airport
CGE,38.54,-76.03,Cambridge Dorchester Airport
CGF,41.57,-81.49,Cuyahoga County Airport
CGI,37.23,-89.57,Cape Girardeau Regional Airport
